Server start at port: 8888
Receive: Efrom client. 丢包率: 0.99975
Receive: Hello Server!from client. 丢包率: 0.9995
Receive: Hello Server!from client. 丢包率: 0.99925
Receive: Hello Server!from client. 丢包率: 0.999
Receive: Hello Server!from client. 丢包率: 0.99875
Receive: Hello Server!from client. 丢包率: 0.9985
Receive: Hello Server!from client. 丢包率: 0.99825
Receive: Hello Server!from client. 丢包率: 0.998
Receive: Hello Server!from client. 丢包率: 0.99775
Receive: Hello Server!from client. 丢包率: 0.9975
Receive: Hello Server!from client. 丢包率: 0.99725
Receive: Hello Server!from client. 丢包率: 0.997
Receive: Hello Server!from client. 丢包率: 0.99675
Receive: Hello Server!from client. 丢包率: 0.9965
Receive: Hello Server!from client. 丢包率: 0.99625
Receive: Hello Server!from client. 丢包率: 0.996
Receive: Hello Server!from client. 丢包率: 0.99575
Receive: Hello Server!from client. 丢包率: 0.9955
Receive: Hello Server!from client. 丢包率: 0.99525
Receive: Hello Server!from client. 丢包率: 0.995
Receive: Hello Server!from client. 丢包率: 0.99475
Receive: Hello Server!from client. 丢包率: 0.9945
Receive: Hello Server!from client. 丢包率: 0.99425
Receive: Hello Server!from client. 丢包率: 0.994
Receive: Hello Server!from client. 丢包率: 0.99375
Receive: Hello Server!from client. 丢包率: 0.9935
Receive: Hello Server!from client. 丢包率: 0.99325
Receive: Hello Server!from client. 丢包率: 0.993
Receive: Hello Server!from client. 丢包率: 0.99275
Receive: Hello Server!from client. 丢包率: 0.9925
Receive: Hello Server!from client. 丢包率: 0.99225
Receive: Hello Server!from client. 丢包率: 0.992
Receive: Hello Server!from client. 丢包率: 0.99175
Receive: Hello Server!from client. 丢包率: 0.9915
Receive: Hello Server!from client. 丢包率: 0.99125
Receive: Hello Server!from client. 丢包率: 0.991
Receive: Hello Server!from client. 丢包率: 0.99075
Receive: Hello Server!from client. 丢包率: 0.9905
Receive: Hello Server!from client. 丢包率: 0.99025
Receive: Hello Server!from client. 丢包率: 0.99
Receive: Hello Server!from client. 丢包率: 0.98975
Receive: Hello Server!from client. 丢包率: 0.9895
Receive: Hello Server!from client. 丢包率: 0.98925
Receive: Hello Server!from client. 丢包率: 0.989
Receive: Hello Server!from client. 丢包率: 0.98875
Receive: Hello Server!from client. 丢包率: 0.9885
Receive: Hello Server!from client. 丢包率: 0.98825
Receive: Hello Server!from client. 丢包率: 0.988
Receive: Hello Server!from client. 丢包率: 0.98775
Receive: Hello Server!from client. 丢包率: 0.9875
Receive: Hello Server!from client. 丢包率: 0.98725
Receive: Hello Server!from client. 丢包率: 0.987
Receive: Hello Server!from client. 丢包率: 0.98675
Receive: Hello Server!from client. 丢包率: 0.9865
